Date : 2023-07-01 16:35:07
Directory : c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl
Total : 303 files,  781351 codes, 98956 comments, 13349 blanks, all 893656 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_message.c                                           | C          |         87 |         47 |         19 |        153 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_selection_list.c                                    | C          |        100 |         53 |         21 |        174 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_setup.c                                             | C          |         69 |         62 |         17 |        148 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_string.c                                            | C          |         98 |         60 |         13 |        171 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_u16toa.c                                            | C          |         36 |         36 |          5 |         77 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\clib\u8x8_u8toa.c                                             | C          |         27 |         35 |          6 |         68 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\configHandler.cpp                                             | C++        |        923 |         27 |         88 |      1,038 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\controlButton.cpp                                             | C++        |         74 |          4 |         13 |         91 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\core.cpp                                                      | C++        |        750 |        106 |        102 |        958 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\main.cpp                                                      | C++        |        114 |          7 |         32 |        153 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\screenControl.cpp                                             | C++        |         30 |         10 |          9 |         49 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\speedMeasurement.cpp                                          | C++        |         73 |          9 |         11 |         93 |
| c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\src\ui.cpp                                                        | C++        |      1,838 |         56 |        305 |      2,199 |
| Total                                                                                                                         |            |    781,351 |     98,956 |     13,349 |    893,656 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
