"filename", "language", "Ini", "C++", "C", "Properties", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\DirectAccess\DirectAccess.ino", "C++", 0, 78, 0, 0, 0, 0, 0, 278, 35, 391
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\DrawLog\DrawLog.ino", "C++", 0, 41, 0, 0, 0, 0, 0, 271, 28, 340
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\ExtUTF8\ExtUTF8.ino", "C++", 0, 29, 0, 0, 0, 0, 0, 262, 21, 312
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\FPS\FPS.ino", "C++", 0, 136, 0, 0, 0, 0, 0, 495, 44, 675
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\FlipMode\FlipMode.ino", "C++", 0, 54, 0, 0, 0, 0, 0, 247, 23, 324
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\GraphicsTest\GraphicsTest.ino", "C++", 0, 221, 0, 0, 0, 0, 0, 262, 47, 530
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\HelloWorld\HelloWorld.ino", "C++", 0, 18, 0, 0, 0, 0, 0, 287, 20, 325
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\IconMenu\IconMenu.ino", "C++", 0, 154, 0, 0, 0, 0, 0, 267, 33, 454
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Japanese\Japanese.ino", "C++", 0, 24, 0, 0, 0, 0, 0, 253, 13, 290
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Korean\Korean.ino", "C++", 0, 24, 0, 0, 0, 0, 0, 253, 13, 290
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\LoadFromSD\LoadFromSD.ino", "C++", 0, 151, 0, 0, 0, 0, 0, 270, 26, 447
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\PowerSaveTest\PowerSaveTest.ino", "C++", 0, 32, 0, 0, 0, 0, 0, 247, 14, 293
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\PrintHelloWorld\PrintHelloWorld.ino", "C++", 0, 20, 0, 0, 0, 0, 0, 253, 13, 286
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\PrintProgmem\PrintProgmem.ino", "C++", 0, 32, 0, 0, 0, 0, 0, 256, 19, 307
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\PrintUTF8\PrintUTF8.ino", "C++", 0, 24, 0, 0, 0, 0, 0, 255, 13, 292
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\ScrollingText\ScrollingText.ino", "C++", 0, 36, 0, 0, 0, 0, 0, 270, 31, 337
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\SelectionList\SelectionList.ino", "C++", 0, 43, 0, 0, 0, 0, 0, 253, 24, 320
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Serial\Serial.ino", "C++", 0, 28, 0, 0, 0, 0, 0, 272, 23, 323
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Shennong\Shennong.ino", "C++", 0, 104, 0, 0, 0, 0, 0, 333, 49, 486
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\StateBufferLoop\StateBufferLoop.ino", "C++", 0, 36, 0, 0, 0, 0, 0, 284, 29, 349
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\Terminal\Terminal.ino", "C++", 0, 34, 0, 0, 0, 0, 0, 270, 26, 330
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\U8g2Logo\U8g2Logo.ino", "C++", 0, 74, 0, 0, 0, 0, 0, 269, 34, 377
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\U8g2\examples\page_buffer\UpdatePartly\UpdatePartly.ino", "C++", 0, 43, 0, 0, 0, 0, 0, 278, 34, 355
